city,state,country,comments,oid,startip,endip,startnum,endnum,whois_record
Hamilton,NY,USA,Colgate University,25182,149.43.0.0,149.43.255.255,2502623232,2502688767,NULL
*,MI,USA,Comcast Michigan-A-1 net,25172,68.40.0.0,68.43.255.255,1143472128,1143734271,NULL
Omaha,NE,USA,Cox Omaha,25185,66.37.224.0,66.37.255.255,1109778432,1109786623,NULL
Middletown,CT,USA,Wesleyan University,25171,129.133.0.0,129.133.255.255,2172977152,2173042687,NULL
*,*,USA,,103840,131.151.0.0,131.151.255.255,2207711232,2207776767,NULL
Nashville,TN,USA,Comcast Nashville,25181,68.52.0.0,68.52.127.255,1144258560,1144291327,NULL
*,CT,USA,comcast-ct,25178,24.2.128.0,24.2.255.255,402817024,402849791,NULL
*,NULL,Zimbabwe,,108721,196.44.176.0,196.44.191.255,3291262976,3291267071,NULL
*,NULL,Zimbabwe,,108720,196.29.32.0,196.29.39.255,3290243072,3290245119,NULL
*,NULL,Zimbabwe,,108719,196.4.80.0,196.4.80.255,3288616960,3288617215,NULL
*,NULL,Zimbabwe,,108718,196.2.64.0,196.2.79.255,3288481792,3288485887,NULL
*,NULL,Zambia,,108717,196.46.192.0,196.46.223.255,3291398144,3291406335,NULL
*,NULL,Yugoslavia,,108716,217.169.208.0,217.169.223.255,3651784704,3651788799,NULL
*,NULL,Yugoslavia,,108715,217.65.192.0,217.65.207.255,3644964864,3644968959,NULL
*,NULL,Yugoslavia,,108714,217.26.64.0,217.26.79.255,3642376192,3642380287,NULL
*,NULL,Yugoslavia,,108713,217.24.16.0,217.24.31.255,3642232832,3642236927,NULL
*,NULL,Yugoslavia,,108712,213.244.192.0,213.244.255.255,3589586944,3589603327,NULL
*,NULL,Yugoslavia,,108711,213.240.0.0,213.240.63.255,3589275648,3589292031,NULL
*,NULL,Yugoslavia,,108710,213.198.192.0,213.198.255.255,3586572288,3586588671,NULL
*,NULL,Yugoslavia,,108709,213.184.96.0,213.184.127.255,3585630208,3585638399,NULL
*,NULL,Yugoslavia,,108708,213.163.96.0,213.163.127.255,3584253952,3584262143,NULL
*,NULL,Yugoslavia,,108707,213.149.96.0,213.149.127.255,3583336448,3583344639,NULL
*,NULL,Yugoslavia,,108706,213.137.96.0,213.137.127.255,3582550016,3582558207,NULL
*,NULL,Yugoslavia,,108705,212.200.0.0,212.200.255.255,3569876992,3569942527,NULL
*,NULL,Yugoslavia,,108704,212.124.160.0,212.124.191.255,3564937216,3564945407,NULL
