code,city,state,country,comments,junk,oid
phx,Phoenix,AZ,USA,NULL,NULL,1
lax,Los Angeles,CA,USA,NULL,NULL,2
sac,Sacramento,CA,USA,NULL,NULL,3
sjc,San Jose,CA,USA,NULL,NULL,4
dfw,Fort Worth,TX,USA,NULL,NULL,5
ftw,Fort Worth,TX,USA,NULL,NULL,6
abq,Albuquerque,NM,USA,NULL,NULL,7
bos,Boston,MA,USA,NULL,NULL,8
nyc,New York,NY,USA,NULL,NULL,9
sfo,San Francisco,CA,USA,NULL,NULL,10
albuquerque,Albuquerque,NM,USA,NULL,NULL,11
san-jose,San Jose,CA,USA,NULL,NULL,12
pao,Palo Alto,CA,USA,NULL,NULL,13
sanjose,San Jose,CA,USA,NULL,NULL,14
nycmny,New York,NY,USA,NULL,NULL,15
bstnma,Boston,MA,USA,NULL,NULL,16
cambridge,Cambridge,MA,USA,NULL,NULL,17
sea,Seattle,WA,USA,NULL,NULL,18
por,Portland,OR,USA,NULL,NULL,19
paloalto,Palo Alto,CA,USA,NULL,NULL,20
chcgil,Chicago,IL,USA,NULL,NULL,21
nchicago,North Chicago,IL,USA,NULL,NULL,22
dnv-co,Denver,CO,USA,NULL,NULL,23
alb-nm,Albuquerque,NM,USA,NULL,NULL,24
dlstx,Dallas,TX,USA,NULL,NULL,25
la2ca,Los Angeles,CA,USA,NULL,NULL,26
sffca,San Francisco,CA,USA,NULL,NULL,27
atl,Atlanta,GA,USA,NULL,NULL,28
snjsca,San Jose,CA,USA,NULL,NULL,29
mtvwca,Mountain View,CA,USA,NULL,NULL,30
chi,Chicago,IL,USA,NULL,NULL,31
bdl,Hartford,CT,USA,NULL,NULL,32
dca,Washington,DC,USA,NULL,NULL,33
snv,Sunnyvale,CA,USA,NULL,NULL,34
losangeles,Los Angeles,CA,USA,NULL,NULL,35
dallas,Dallas,TX,USA,NULL,NULL,36
atlanta,Atlanta,GA,USA,NULL,NULL,37
washington,Washington,DC,USA,NULL,NULL,38
newyork,New York,NY,USA,NULL,NULL,39
sttlwa,Seattle,WA,USA,NULL,NULL,40
stlsmo,St. Louis,MO,USA,NULL,NULL,41
stl,St. Louis,MO,USA,NULL,NULL,42
ord,Chicago,IL,USA,NULL,NULL,43
scl,Santa Clara,CA,USA,NULL,NULL,44
iad,Washington,DC,USA,NULL,NULL,45
hou,Houston,TX,USA,NULL,NULL,46
albqnm,Albuquerque,NM,USA,NULL,NULL,47
phl,Philadelphia,PA,USA,NULL,NULL,48
lnmtco,Longmont,CO,USA,NULL,NULL,49
clevoh,Cleveland,OH,USA,NULL,NULL,50
bflony,Buffalo,NY,USA,NULL,NULL,51
slt,Salt Lake City,UT,USA,NULL,NULL,52
tpa,Tampa,FL,USA,NULL,NULL,53
cph,Copenhagen,NULL,Denmark,NULL,NULL,54
mae-west,San Jose,CA,USA,NULL,NULL,55
mae-east,Washington,DC,USA,NULL,NULL,56
detroit,Detroit,MI,USA,NULL,NULL,57
santaclara,Santa Clara,CA,USA,NULL,NULL,58
elpa,El Paso,TX,USA,NULL,NULL,59
ftwo,Fort Worth,TX,USA,NULL,NULL,60
mkc,Kansas City,MO,USA,NULL,NULL,61
dal,Dallas,TX,USA,NULL,NULL,62
kcm,Kansas City,MO,USA,NULL,NULL,63
den,Denver,CO,USA,NULL,NULL,64
ltrkar,Little Rock,AR,USA,NULL,NULL,65
bwi,Baltimore,MD,USA,NULL,NULL,66
plalca,Palo Alto,CA,USA,NULL,NULL,67
sanfrancisco,San Francisco,CA,USA,NULL,NULL,68
desmia,Des Moines,IA,USA,NULL,NULL,69
kans,Kansas City,MO,USA,NULL,NULL,70
kansascity,Kansas City,MO,USA,NULL,NULL,71
omahne,Omaha,NE,USA,NULL,NULL,72
msp,Minneapolis,MN,USA,NULL,NULL,73
scrmca,Sacramento,CA,USA,NULL,NULL,74
ptldor,Portland,OR,USA,NULL,NULL,75
nuq,Mountain View,CA,USA,NULL,NULL,76
ind,Indianapolis,IN,USA,NULL,NULL,77
ana,Anaheim,CA,USA,NULL,NULL,78
che,Cheyenne,WY,USA,NULL,NULL,79
dc,Washington,DC,USA,NULL,NULL,80
fw,Fort Worth,TX,USA,NULL,NULL,81
kc,Kansas City,MO,USA,NULL,NULL,82
orl,Orlando,FL,USA,NULL,NULL,83
pen,Pennsauken,NJ,USA,NULL,NULL,84
rel,Relay,MD,USA,NULL,NULL,85
mch,Munich,NULL,Germany,NULL,NULL,86
sj,San Jose,CA,USA,NULL,NULL,87
stk,Stockton,CA,USA,NULL,NULL,88
cmdnng,Camden,NJ,USA,NULL,NULL,89
cmdnnj,Camden,NJ,USA,NULL,NULL,90
bltmmd,Baltimore,MD,USA,NULL,NULL,91
sndgca,San Diego,CA,USA,NULL,NULL,92
atlnga,Atlanta,GA,USA,NULL,NULL,93
phnxaz,Phoenix,AZ,USA,NULL,NULL,94
iowact,Iowa City,IA,USA,NULL,NULL,95
wdc,Washington,DC,USA,NULL,NULL,96
london,London,NULL,United Kingdom,NULL,NULL,97
madrid,Madrid,NULL,Spain,NULL,NULL,98
ams,Amsterdam,NULL,Netherlands,NULL,NULL,99
oma,Omaha,NE,USA,NULL,NULL,100
tamqfl,Tampa,FL,USA,NULL,NULL,101
eugnor,Eugene,OR,USA,NULL,NULL,102
ewr,Newark,NJ,USA,NULL,NULL,103
jfk,New York,NY,USA,NULL,NULL,104
sji-ca,San Jose,CA,USA,NULL,NULL,105
kcy,Kansas City,MO,USA,NULL,NULL,106
perth,Perth,NULL,Australia,NULL,NULL,107
sydney,Sydney,NULL,Australia,NULL,NULL,108
adelaide,Adelaide,NULL,Australia,NULL,NULL,109
evrtwa,Everett,WA,USA,NULL,NULL,110
denver,Denver,CO,USA,NULL,NULL,111
chicago,Chicago,IL,USA,NULL,NULL,112
paix,Palo Alto,CA,USA,NULL,NULL,113
phlapa,Philadelphia,PA,USA,NULL,NULL,114
cle,Cleveland,OH,USA,NULL,NULL,115
dytn.oh,Dayton,OH,USA,NULL,NULL,116
provd.ri,Providence,RI,USA,NULL,NULL,117
sntc,Santa Clara,CA,USA,NULL,NULL,118
lon.uk,London,NULL,United Kingdom,NULL,NULL,119
nyc.us,New York,NY,USA,NULL,NULL,120
ny,New York,NY,USA,NULL,NULL,121
sf,San Francisco,CA,USA,NULL,NULL,122
stockholm,Stockholm,NULL,Sweden,NULL,NULL,123
sto,Stockholm,NULL,Sweden,NULL,NULL,124
tko,Tokyo,NULL,Japan,NULL,NULL,125
tyo,Tokyo,NULL,Japan,NULL,NULL,126
tac,Tacoma,WA,USA,NULL,NULL,127
boston,Boston,MA,USA,NULL,NULL,128
nashua,Nashua,NH,USA,NULL,NULL,129
washdc,Washington,DC,USA,NULL,NULL,130
lsanca,Los Angeles,CA,USA,NULL,NULL,131
sfra.ca,San Francisco,CA,USA,NULL,NULL,132
nyor.ny,New York,NY,USA,NULL,NULL,133
albq,Albuquerque,NM,USA,NULL,NULL,134
psk,Dublin,VA,USA,NULL,NULL,135
phi,Philadelphia,PA,USA,NULL,NULL,136
montreal,Montreal,NULL,Canada,NULL,NULL,137
par,Paris,NULL,France,NULL,NULL,138
sjo,San Jose,CA,USA,NULL,NULL,139
lnd,London,NULL,United Kingdom,NULL,NULL,140
svl,Sunnyvale,CA,USA,NULL,NULL,141
dlls,Dallas,TX,USA,NULL,NULL,142
scha.il,Schaumburg,IL,USA,NULL,NULL,143
aust,Austin,TX,USA,NULL,NULL,144
irvn,Irvine,CA,USA,NULL,NULL,145
elsg,El Segundo,CA,USA,NULL,NULL,146
wswdc,Washington,DC,USA,NULL,NULL,147
seattle,Seattle,WA,USA,NULL,NULL,148
amsterdam.nl,Amsterdam,NULL,Netherlands,NULL,NULL,149
westorange,West Orange,NJ,USA,NULL,NULL,150
burnaby,Burnaby,BC,Canada,NULL,NULL,151
lakecowichan,Lake Cowichan,BC,Canada,NULL,NULL,152
crtntx,Carrollton,TX,USA,NULL,NULL,153
chmpgn.il,Champaign,IL,USA,NULL,NULL,154
willowsprings,Willow Springs,IL,USA,NULL,NULL,155
newark,Newark,NJ,USA,NULL,NULL,156
hrnd,Herndon,VA,USA,NULL,NULL,157
jrcy,Jersey City,NJ,USA,NULL,NULL,158
canberra,Canberra,NULL,Australia,NULL,NULL,159
dllstx,Dallas,TX,USA,NULL,NULL,160
otemachi,Tokyo,NULL,Japan,NULL,NULL,161
ballarat,Ballarat,VIC,Australia,NULL,NULL,162
melbourne,Melbourne,NULL,Australia,NULL,NULL,163
newyork.us,New York,NY,USA,NULL,NULL,164
frankfurt.de,Frankfurt,NULL,Germany,NULL,NULL,165
amsterdam,Amsterdam,NULL,Netherlands,NULL,NULL,166
weehawken,Weehawken,NJ,USA,NULL,NULL,167
toronto,Toronto,NULL,Canada,NULL,NULL,168
mae-dallas,Dallas,TX,USA,NULL,NULL,169
atln,Atlanta,GA,USA,NULL,NULL,170
