city,country,lat,lon,source,oid,state,comments
Burnaby,Canada,49.25,-122.95,manually from http://www.astro.com/atlas/,510,BC,NULL
Lake Cowichan,Canada,48.8333,-124.05,manually from http://www.astro.com/atlas/,511,BC,NULL
Canberra,Australia,-35.2833,149.133,manually from http://www.astro.com/atlas/,512,NULL,NULL
Toronto,Canada,43.65,-79.3833,manually from http://www.astro.com/atlas/,513,NULL,NULL
Leeuwarden,Netherlands,53.2,5.8,manually from http://www.astro.com/atlas/,514,NULL,NULL
Wiener Neustadt,Austria,47.8167,16.25,manually from http://www.astro.com/atlas/,515,NULL,NULL
Montreal,Canada,45.5167,-73.5667,manually from http://www.astro.com/atlas/,516,NULL,NULL
Poitiers,France,46.5833,0.333333,manually from http://www.astro.com/atlas/,517,NULL,NULL
Toulouse,France,43.6,1.43333,manually from http://www.astro.com/atlas/,518,NULL,NULL
Vancouver,Canada,49.2667,-123.117,manually from http://www.astro.com/atlas/,519,BC,NULL
Geneva,Switzerland,46.2,6.15,manually from http://www.astro.com/atlas/,520,NULL,NULL
Nancy,France,48.6833,6.2,manually from http://www.astro.com/atlas/,521,NULL,NULL
Strasbourg,France,48.5833,7.75,manually from http://www.astro.com/atlas/,522,NULL,NULL
St. John,Canada,45.2667,-66.05,manually from http://www.astro.com/atlas/,523,NB,NULL
Kingston,Jamaica,17.9833,-76.8167,http://www.infoplease.com/ipa/A0001769.html,524,NULL,NULL
Kinshasa,Congo,-4.3,15.2833,http://www.infoplease.com/ipa/A0001769.html,525,NULL,NULL
La Paz,Bolivia,-16.45,-68.3667,http://www.infoplease.com/ipa/A0001769.html,526,NULL,NULL
Leeds,United Kingdom,53.75,-1.5,http://www.infoplease.com/ipa/A0001769.html,527,NULL,NULL
Lima,Peru,-12,-77.0333,http://www.infoplease.com/ipa/A0001769.html,528,NULL,NULL
Lisbon,Portugal,38.7333,-9.15,http://www.infoplease.com/ipa/A0001769.html,529,NULL,NULL
Liverpool,United Kingdom,53.4167,-3,http://www.infoplease.com/ipa/A0001769.html,530,NULL,NULL
Lyons,France,45.75,4.83333,http://www.infoplease.com/ipa/A0001769.html,531,NULL,NULL
Madrid,Spain,40.4333,-3.7,http://www.infoplease.com/ipa/A0001769.html,532,NULL,NULL
Manchester,United Kingdom,53.5,-2.25,http://www.infoplease.com/ipa/A0001769.html,533,NULL,NULL
Manila,Philippines,14.5833,120.95,http://www.infoplease.com/ipa/A0001769.html,534,NULL,NULL
Marseilles,France,43.3333,5.33333,http://www.infoplease.com/ipa/A0001769.html,535,NULL,NULL
Mazatlan,Mexico,23.2,-106.417,http://www.infoplease.com/ipa/A0001769.html,536,NULL,NULL
Mecca,Saudi Arabia,21.4833,39.75,http://www.infoplease.com/ipa/A0001769.html,537,NULL,NULL
Melbourne,Australia,-37.7833,144.967,http://www.infoplease.com/ipa/A0001769.html,538,NULL,NULL
Mexico City,Mexico,19.4333,-99.1167,http://www.infoplease.com/ipa/A0001769.html,539,NULL,NULL
Milan,Italy,45.45,9.16667,http://www.infoplease.com/ipa/A0001769.html,540,NULL,NULL
Montevideo,Uruguay,-34.8833,-56.1667,http://www.infoplease.com/ipa/A0001769.html,541,NULL,NULL
Moscow,Russia,55.75,37.6,http://www.infoplease.com/ipa/A0001769.html,542,NULL,NULL
Munich,Germany,48.1333,11.5833,http://www.infoplease.com/ipa/A0001769.html,543,NULL,NULL
Nagasaki,Japan,32.8,129.95,http://www.infoplease.com/ipa/A0001769.html,544,NULL,NULL
Nagoya,Japan,35.1167,136.933,http://www.infoplease.com/ipa/A0001769.html,545,NULL,NULL
Nairobi,Kenya,-1.41667,36.9167,http://www.infoplease.com/ipa/A0001769.html,546,NULL,NULL
Nanking,China,32.05,118.883,http://www.infoplease.com/ipa/A0001769.html,547,NULL,NULL
Nanjing,China,32.05,118.883,http://www.infoplease.com/ipa/A0001769.html,548,NULL,NULL
Naples,Italy,40.8333,14.25,http://www.infoplease.com/ipa/A0001769.html,549,NULL,NULL
Newcastle-on-Tyne,United Kingdom,54.9667,-1.61667,http://www.infoplease.com/ipa/A0001769.html,550,NULL,NULL
Odessa,Ukraine,46.45,30.8,http://www.infoplease.com/ipa/A0001769.html,551,NULL,NULL
Osaka,Japan,34.5333,135.5,http://www.infoplease.com/ipa/A0001769.html,552,NULL,NULL
Oslo,Norway,59.95,10.7,http://www.infoplease.com/ipa/A0001769.html,553,NULL,NULL
Panama City,Panama,8.96667,-79.5333,http://www.infoplease.com/ipa/A0001769.html,554,NULL,NULL
Paramaribo,Suriname,5.75,-55.25,http://www.infoplease.com/ipa/A0001769.html,555,NULL,NULL
Paris,France,48.8,2.33333,http://www.infoplease.com/ipa/A0001769.html,556,NULL,NULL
Perth,Australia,-31.95,115.867,http://www.infoplease.com/ipa/A0001769.html,557,NULL,NULL
Plymouth,United Kingdom,50.4167,-4.08333,http://www.infoplease.com/ipa/A0001769.html,558,NULL,NULL
Port Moresby,Papua New Guinea,-9.41667,147.133,http://www.infoplease.com/ipa/A0001769.html,559,NULL,NULL
Prague,Czech Republic,50.0833,14.4333,http://www.infoplease.com/ipa/A0001769.html,560,NULL,NULL
Rangoon,Burma,16.8333,96,http://www.infoplease.com/ipa/A0001769.html,561,NULL,NULL
Reykjavik,Iceland,64.0667,-21.9667,http://www.infoplease.com/ipa/A0001769.html,562,NULL,NULL
Rio De Janeiro,Brazil,-22.95,-43.2,http://www.infoplease.com/ipa/A0001769.html,563,NULL,NULL
Rome,Italy,41.9,12.45,http://www.infoplease.com/ipa/A0001769.html,564,NULL,NULL
Salvador,Brazil,-12.9333,-38.45,http://www.infoplease.com/ipa/A0001769.html,565,NULL,NULL
Santiago,Chile,-33.4667,-70.75,http://www.infoplease.com/ipa/A0001769.html,566,NULL,NULL
St. Petersburg,Russia,59.9333,30.3,http://www.infoplease.com/ipa/A0001769.html,567,NULL,NULL
Sao Paulo,Brazil,-23.5167,-46.5167,http://www.infoplease.com/ipa/A0001769.html,568,NULL,NULL
Shanghai,China,31.1667,121.467,http://www.infoplease.com/ipa/A0001769.html,569,NULL,NULL
